CharityIPCName,UEN,CharityStatus,IPCStatus,IPCValidFrom,IPCValidTill,PrimarySector,Classification,Activities,SectorAdmin,CharitySetup,RegistrationDate
CHANGI GENERAL HOSPITAL HEALTH ENDOWMENT FUND,T00CC1421G,Deregistered,Not Applicable,,19/7/2004,Health,,,Ministry of Health,Others,03/3/2000
CHANGI FOUNDATION LIMITED,201814465E,Registered,,,,Social and Welfare,Community,"Direct Services|Grantmaking|Financial assistance, bursaries & scholarships|Supports other Charities",Ministry of Social and Family Development,Company Limited by Guarantee,18/11/2018
Changi Christian Fellowship,T03SS0107H,Registered,,,,Religious,Christianity,Direct Services,"Ministry of Culture, Community and Youth",Society,04/11/2004
Changi Bethany Church,T12SS0147D,Registered,,,,Religious,Christianity,Supports other Charities,"Ministry of Culture, Community and Youth",Society,15/3/1989
Changi Baptist Church,S77SS0021L,Registered,,,,Religious,Christianity,"Direct Services|Financial assistance, bursaries & scholarships|Supports other Charities|Training & education","Ministry of Culture, Community and Youth",Society,01/11/1990
Change Our World,T03SS0224K,Registered,,,,Social and Welfare,Community,Direct Services,Ministry of Social and Family Development,Society,05/4/2006
CHANGE COMMUNITY SERVICES LIMITED,201003883D,Registered,,,,Social and Welfare,Children/Youth|Community|Family,Direct Services,Ministry of Social and Family Development,Company Limited by Guarantee,07/3/2013
CHANG TECK SEAN TONG,S87CC0415F,Registered,,,,Religious,Buddhism,,"Ministry of Culture, Community and Youth",Others,21/1/1987
Ch'an Zhi Yuan,T04SS0061K,Deregistered,,,,Others,General Charitable Purposes,,"Ministry of Culture, Community and Youth",Society,18/4/2006
Chan Xin Meditation Centre,T02SS0154G,Registered,,,,Religious,Buddhism,,"Ministry of Culture, Community and Youth",Society,17/2/2005
CHAMBER MUSIC AND ARTS SINGAPORE LIMITED,202020064E,Registered with IPC,Live,14/10/2025,13/10/2026,Arts and Heritage,Music & Orchestras|Training & Education|Visual Arts,"Direct Services|Public awareness, promotion & advisory|Supports other Charities|Training & education","Ministry of Culture, Community and Youth",Company Limited by Guarantee,12/6/2021
CHAINED DOG AWARENESS (SINGAPORE) LTD.,202235868M,Registered,,,,Others,Animal Welfare,Training & education,"Ministry of Culture, Community and Youth",Company Limited by Guarantee,21/10/2025
CFL Lumens Trust,T20CC0003G,Registered with IPC,Live,01/3/2026,30/9/2028,Social and Welfare,Children/Youth|Community|Family,Direct Services|Training & education,Ministry of Social and Family Development,Others,02/7/2020
CFAM FOUNDATION LIMITED,202109389D,Registered,,,,Social and Welfare,Children/Youth|Community|Disability (Adult)|Disability (Children)|Eldercare|Family|Support Groups,"Financial assistance, bursaries & scholarships|Supports other Charities|Grantmaking|Training & education",Ministry of Social and Family Development,Company Limited by Guarantee,20/8/2025
Cerebral Palsy Alliance Singapore,S60SS0003K,Registered with IPC,Live,01/12/2024,31/8/2026,Social and Welfare,Disability (Adult)|Disability (Children)|Eldercare,"Direct Services|Public awareness, promotion & advisory|Financial assistance, bursaries & scholarships|Training & education|Research",Ministry of Social and Family Development,Society,22/8/1984
CENTRE STAGE PRODUCTIONS LIMITED,200723118D,Registered,,,,Arts and Heritage,Theatre & Dramatic Arts,Training & education,"Ministry of Culture, Community and Youth",Company Limited by Guarantee,07/5/2008
Centre of New Life,S92SS0111L,Registered,,,,Religious,Christianity,,"Ministry of Culture, Community and Youth",Society,18/9/1995
Centre of Hope Church,S87SS0050L,Registered,,,,Religious,Christianity,Direct Services,"Ministry of Culture, Community and Youth",Society,22/11/1993
Centre of Christian Agape,T03SS0073B,Deregistered,,,,Social and Welfare,,,Ministry of Social and Family Development,Society,04/8/2004
Centre of Activity and Recreation for the Elders (CARE),S83SS0001F,Registered with IPC,Live,01/5/2023,30/4/2026,Health,Active Ageing,Direct Services|Training & education,Ministry of Health,Society,20/4/1991
Centre for Seniors,T06SS0199E,Registered with IPC,Live,01/10/2023,30/9/2026,Health,Active Ageing,"Public awareness, promotion & advisory|Training & education",Ministry of Health,Society,22/8/2007
Centre for Non-Profit Leadership,T06SS0095H,Deregistered,Terminated,,,Others,General Charitable Purposes,,"Ministry of Culture, Community and Youth",Society,06/3/2010
CENTRE FOR FATHERING LIMITED,200101825N,Registered with IPC,Live,01/7/2024,28/2/2027,Social and Welfare,Family,"Public awareness, promotion & advisory|Training & education",Ministry of Social and Family Development,Company Limited by Guarantee,19/9/2001
Centre for Exceptional Children,,Deregistered,,,,Social and Welfare,,,Ministry of Social and Family Development,Society,20/1/2003
Centre for Enlightenment,T01SS0016E,Deregistered,,,,Religious,Environment,,"Ministry of Culture, Community and Youth",Society,11/4/2003
CENTRE FOR CHINESE OPERA,200205781C,Deregistered,,,,Arts and Heritage,Traditional Ethnic Performing Arts,,"Ministry of Culture, Community and Youth",Company Limited by Guarantee,29/8/2002
Centre for a Responsible Future,S99SS0065J,Registered,,,,Others,Animal Welfare|Environment,"Public awareness, promotion & advisory|Training & education","Ministry of Culture, Community and Youth",Society,28/1/2005
CENTRE 42 LIMITED,201403108H,Registered with IPC,Live,23/12/2024,22/12/2027,Arts and Heritage,Theatre & Dramatic Arts|Training & Education,"Research|Supports other Charities|Training & education|Public awareness, promotion & advisory","Ministry of Culture, Community and Youth",Company Limited by Guarantee,19/9/2014
Central Sikh Temple,T08CC4002J,Exempt Charity,,,,Religious,Others; Sikhism,,"Ministry of Culture, Community and Youth",Others,
CENTRAL SIKH GURDWARA BOARD,T09CC0002F,Exempt Charity,,,,Religious,Others; Sikhism,,"Ministry of Culture, Community and Youth",Others,
Central Christian Church,S88SS0027F,Registered,,,,Religious,Christianity,,"Ministry of Culture, Community and Youth",Society,08/11/1989
CENTER FOR LIFE ENRICHMENT LTD,198300183W,Registered,,,,Religious,Christianity,,"Ministry of Culture, Community and Youth",Company Limited by Guarantee,25/7/1984
CENACLE MISSION (SINGAPORE) LTD.,201512247H,Registered,,,,Religious,Christianity,,"Ministry of Culture, Community and Youth",Company Limited by Guarantee,18/1/2016
CELEBRATE CHRISTMAS IN SINGAPORE LIMITED,200412861G,Registered,,,,Religious,Christianity,"Public awareness, promotion & advisory|Supports other Charities","Ministry of Culture, Community and Youth",Company Limited by Guarantee,04/4/2005
CAUSES FOR ANIMALS (SINGAPORE) LIMITED,201314186Z,Registered with IPC,Live,15/2/2026,14/2/2029,Others,Animal Welfare,"Public awareness, promotion & advisory|Supports other Charities|Training & education","Ministry of Culture, Community and Youth",Company Limited by Guarantee,02/1/2014
"Catholic Welfare Services, Singapore",S61SS0167J,Registered with IPC,Live,01/1/2024,31/10/2026,Social and Welfare,Community|Disability (Adult)|Eldercare|Family,"Direct Services|Financial assistance, bursaries & scholarships|Training & education",Ministry of Social and Family Development,Society,29/6/1985
Catholic Spirituality Centre,T08CC4089K,Exempt Charity,,,,Religious,Christianity,,"Ministry of Culture, Community and Youth",Others,
CATHOLIC PRESCHOOL EDUCATION (SINGAPORE) LTD.,201934727Z,Registered,,,,Social and Welfare,Children/Youth,"Direct Services|Public awareness, promotion & advisory|Financial assistance, bursaries & scholarships|Training & education",Ministry of Social and Family Development,Company Limited by Guarantee,01/1/2021
Catholic Prayer Society,S95SS0036C,Registered,,,,Religious,Christianity,,"Ministry of Culture, Community and Youth",Society,21/10/1997
CATHOLIC JUNIOR COLLEGE,T07GS0802K,Exempt Charity,,,,Education,Government-Aided Schools,,Ministry of Education,Others,
CATHOLIC HIGH SCHOOL,T07GS7102K,Exempt Charity,,,,Education,Government-Aided Schools,"Financial assistance, bursaries & scholarships|Training & education",Ministry of Education,Others,
CATHOLIC FOUNDATION LIMITED,201231391K,Registered,,,,Religious,Christianity,Grantmaking,"Ministry of Culture, Community and Youth",Company Limited by Guarantee,17/1/2013
CATHOLIC FAMILY LIFE LIMITED,202008017H,Registered,,,,Religious,Christianity,Direct Services|Training & education,"Ministry of Culture, Community and Youth",Company Limited by Guarantee,12/11/2020
CATHOLIC ARCHDIOCESAN SCHOOLS SINGAPORE LIMITED,202318822M,Registered,,,,Education,Local Educational Institutions/Funds,,Ministry of Education,Company Limited by Guarantee,08/9/2023
Catholic AIDS Response Effort,T04SS0204E,Registered with IPC,Live,01/2/2024,31/1/2027,Social and Welfare,Community,,Ministry of Social and Family Development,Society,07/7/2006
Cathedral of the Good Shepherd,T08CC4024L,Exempt Charity,,,,Religious,Christianity,,"Ministry of Culture, Community and Youth",Others,
CATCH THEM YOUNG LIMITED,201540730N,Registered with IPC,Live,21/9/2025,20/7/2027,Social and Welfare,Children/Youth,"Direct Services|Financial assistance, bursaries & scholarships|Supports other Charities|Training & education",Ministry of Social and Family Development,Company Limited by Guarantee,23/3/2020
CAT WELFARE SOCIETY,S99SS0144E,Registered with IPC,Live,09/12/2024,08/12/2026,Others,Animal Welfare,"Public awareness, promotion & advisory","Ministry of Culture, Community and Youth",Society,28/6/2004
CASHEW CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,T07CC2006F,Registered with IPC,Live,01/1/2024,31/12/2026,Community,North West,"Financial assistance, bursaries & scholarships",People's Association,Others,24/4/2007
CASA RAUDHA WOMEN HOME,T08SS0051C,Deregistered,Not Applicable,,,Social and Welfare,Community,Direct Services,Ministry of Social and Family Development,Society,01/9/2008
CASA RAUDHA LTD.,201713778N,Registered with IPC,Live,20/10/2023,19/6/2026,Social and Welfare,Family,"Direct Services|Public awareness, promotion & advisory",Ministry of Social and Family Development,Company Limited by Guarantee,14/2/2019
CARMELITE NUNS (SINGAPORE) LTD.,201902997K,Registered,,,,Religious,Christianity,Supports other Charities,"Ministry of Culture, Community and Youth",Company Limited by Guarantee,03/12/2019
CARMELITE FRIARS (SINGAPORE) LTD.,201706443H,Registered,,,,Religious,Christianity,Direct Services|Training & education,"Ministry of Culture, Community and Youth",Company Limited by Guarantee,01/6/2018
Carmel Presbyterian Church,S84SS0074A,Registered,,,,Religious,Christianity,Training & education,"Ministry of Culture, Community and Youth",Society,01/7/1986
CARMEL COMMUNITY SERVICES LTD.,201230606W,Registered,,,,Social and Welfare,Children/Youth|Eldercare|Family,"Public awareness, promotion & advisory|Training & education",Ministry of Social and Family Development,Company Limited by Guarantee,04/6/2014
Carlo Catholic Society,S96SS0038L,Deregistered,,,,Religious,Christianity,"Financial assistance, bursaries & scholarships","Ministry of Culture, Community and Youth",Society,22/1/1996
CARLO CATHOLIC SERVICES LTD.,201918337D,Registered,,,,Religious,Christianity,"Public awareness, promotion & advisory|Financial assistance, bursaries & scholarships","Ministry of Culture, Community and Youth",Company Limited by Guarantee,29/11/2019
CARITAS SINGAPORE COMMUNITY COUNCIL LIMITED,200613504D,Registered,,,,Others,General Charitable Purposes,"Grantmaking|Public awareness, promotion & advisory|Supports other Charities|Training & education","Ministry of Culture, Community and Youth",Company Limited by Guarantee,18/5/2007
Caritas Singapore Agape Fund,T06CC2001K,Registered with IPC,Live,01/4/2025,31/3/2028,Social and Welfare,Community,Grantmaking|Supports other Charities|Training & education,Ministry of Social and Family Development,Others,01/12/2006
CARINGSG LIMITED,202034409E,Registered with IPC,Live,19/1/2026,18/1/2028,Social and Welfare,Disability (Adult)|Disability (Children),"Direct Services|Public awareness, promotion & advisory|Training & education",Ministry of Social and Family Development,Company Limited by Guarantee,03/6/2021
Caring Hearts Society,S97SS0035F,Deregistered,,,,Social and Welfare,,,Ministry of Social and Family Development,Society,01/3/2000
CARING FOR LIFE LTD.,201938707Z,Registered with IPC,Live,19/1/2026,18/1/2027,Social and Welfare,Children/Youth|Community|Eldercare|Family|Support Groups,"Direct Services|Public awareness, promotion & advisory|Supports other Charities|Training & education",Ministry of Social and Family Development,Company Limited by Guarantee,11/11/2020
Caring for Cambodia Fund,T08CC2141J,Registered,,,,Others,General Charitable Purposes,Training & education,"Ministry of Culture, Community and Youth",Others,09/12/2008
CARING FLEET SERVICES LIMITED,201000618K,Registered with IPC,Live,23/1/2024,22/8/2026,Social and Welfare,Disability (Adult)|Disability (Children),Direct Services|Supports other Charities,Ministry of Social and Family Development,Company Limited by Guarantee,28/1/2010
CAREGIVING WELFARE ASSOCIATION,T04SS0073G,Registered with IPC,Live,01/8/2024,31/7/2027,Health,Other Community-based Services|Active Ageing|Home Care,"Direct Services|Public awareness, promotion & advisory|Training & education",Ministry of Health,Society,13/5/2004
Caregivers' Association of the Mentally-ill (CAMI),T05SS0189F,Registered,,,,Social and Welfare,Disability (Adult)|Disability (Children)|Eldercare|Family|Support Groups,"Public awareness, promotion & advisory|Supports other Charities|Training & education",Ministry of Social and Family Development,Society,01/10/2008
CAREGIVER SUPPORT HUB LTD.,202518235W,Registered,,,,Social and Welfare,Support Groups,"Financial assistance, bursaries & scholarships|Public awareness, promotion & advisory|Direct Services|Supports other Charities|Training & education",Ministry of Social and Family Development,Company Limited by Guarantee,12/9/2025
CARE-FOR-NATURE TRUST FUND,S92CC0858L,Deregistered,,,,Others,Environment,,"Ministry of Culture, Community and Youth",Others,13/1/1992
CAREERCONSORTIA LIMITED,202040991W,Registered,,,,Social and Welfare,Community|Support Groups,"Direct Services|Research|Financial assistance, bursaries & scholarships|Supports other Charities|Training & education|Public awareness, promotion & advisory",Ministry of Social and Family Development,Company Limited by Guarantee,15/7/2021
Care Link,T02SS0085E,Deregistered,Not Applicable,,26/10/2012,Social and Welfare,,,Ministry of Social and Family Development,Society,18/11/2002
Care for the Elderly Foundation (Singapore),S95SS0134B,Registered with IPC,Live,01/2/2025,31/1/2028,Health,Other Community-based Services|Active Ageing|Mental Health|Home Care|Palliative Home Care,"Direct Services|Public awareness, promotion & advisory|Financial assistance, bursaries & scholarships|Training & education",Ministry of Health,Society,17/1/1996
CARE FOR THE DISABLED LIMITED,202009350D,Registered,,,,Social and Welfare,Disability (Adult)|Disability (Children),"Direct Services|Public awareness, promotion & advisory|Financial assistance, bursaries & scholarships|Supports other Charities|Training & education",Ministry of Social and Family Development,Company Limited by Guarantee,01/3/2021
CARE CORNER SINGAPORE LTD,198105641M,Registered with IPC,Live,01/8/2024,31/7/2028,Social and Welfare,Children/Youth|Community|Family,"Direct Services|Public awareness, promotion & advisory|Financial assistance, bursaries & scholarships|Training & education|Research",Ministry of Social and Family Development,Company Limited by Guarantee,09/9/1987
